stimulus_id,source,face_age,face_gender,face_ethnicity,face_style,filename_emotion,stimulus_variant
S126,AI,old,woman,white,dark,surprise,a
S127,AI,young,man,asian,dark,anger,a
S128,AI,young,man,asian,dark,disgust,a
S129,AI,young,man,asian,dark,fear,a
S130,AI,young,man,asian,dark,happy,a
S131,AI,young,man,asian,dark,neutral,a
S132,AI,young,man,asian,dark,sad,a
S133,AI,young,man,asian,dark,surprise,a
S134,AI,young,man,indian,dark,anger,a
S135,AI,young,man,indian,dark,disgust,a
S136,AI,young,man,indian,dark,fear,a
S137,AI,young,man,indian,dark,happy,a
S138,AI,young,man,indian,dark,neutral,a
S139,AI,young,man,indian,dark,sad,a
S140,AI,young,man,indian,dark,surprise,a
S141,AI,young,man,white,dark,anger,a
S142,AI,young,man,white,dark,disgust,a
S143,AI,young,man,white,dark,fear,a
S144,AI,young,man,white,dark,happy,a
S145,AI,young,man,white,dark,neutral,a
S146,AI,young,man,white,dark,sad,a
S147,AI,young,man,white,dark,surprise,a
S148,AI,young,woman,asian,dark,anger,a
S149,AI,young,woman,asian,dark,disgust,a
S150,AI,young,woman,asian,dark,fear,a
S151,AI,young,woman,asian,dark,happy,a
S152,AI,young,woman,asian,dark,neutral,a
S153,AI,young,woman,asian,dark,sad,a
S154,AI,young,woman,asian,dark,surprise,a
S155,AI,young,woman,indian,dark,anger,a
S156,AI,young,woman,indian,dark,disgust,a
S157,AI,young,woman,indian,dark,fear,a
S158,AI,young,woman,indian,dark,happy,a
S159,AI,young,woman,indian,dark,neutral,a
S160,AI,young,woman,indian,dark,sad,a
S161,AI,young,woman,indian,dark,surprise,a
S162,FACES,middle,man,white,mixed,anger,a
S163,FACES,middle,man,white,mixed,anger,b
S164,FACES,middle,man,white,mixed,disgust,a
S165,FACES,middle,man,white,mixed,disgust,b
S166,FACES,middle,man,white,mixed,fear,a
S167,FACES,middle,man,white,mixed,fear,b
S168,FACES,middle,man,white,mixed,happy,a
S169,FACES,middle,man,white,mixed,happy,b
S170,FACES,middle,man,white,mixed,neutral,a
S171,FACES,middle,man,white,mixed,neutral,b
S172,FACES,middle,man,white,mixed,sad,a
S173,FACES,middle,man,white,mixed,sad,b
S174,FACES,middle,woman,white,mixed,anger,a
S175,FACES,middle,woman,white,mixed,anger,b
S176,FACES,middle,woman,white,mixed,disgust,a
S177,FACES,middle,woman,white,mixed,disgust,b
S178,FACES,middle,woman,white,mixed,fear,a
S179,FACES,middle,woman,white,mixed,fear,b
S180,FACES,middle,woman,white,mixed,happy,a
S181,FACES,middle,woman,white,mixed,happy,b
S182,FACES,middle,woman,white,mixed,neutral,a
S183,FACES,middle,woman,white,mixed,neutral,b
S184,FACES,middle,woman,white,mixed,sad,a
