model,formula,participant_n,trial_n,singular,convergence_message,captured_warnings
sensitivity_complete_task_accuracy_model,correct ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id),1029,76406,FALSE,,
sensitivity_complete_task_rt_model,log_rt ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id),1029,61550,FALSE,,
sensitivity_no_happy_accuracy_model,correct ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id),1047,64354,FALSE,,
sensitivity_rt_0_3_to_10_model,log_rt ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id),1046,60968,FALSE,,
sensitivity_rt_all_positive_model,log_rt ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id),1046,62468,FALSE,,
