model,participant_n,trial_n,effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_method
sensitivity_no_happy_accuracy_model,1047,64354,fixed,(Intercept),1.602241926798198,0.2178910194664825,7.3534096573661945,1.932136133673276e-13,1.1751833760891766,2.0293004775072196,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,trial_stratumAI-white,0.8696740327580225,0.23029505187970814,3.7763470194413307,1.5914522890920924e-4,0.41830402525601135,1.3210440402600336,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,trial_stratumAI-non-white,0.7440641631540057,0.18420695570320636,4.039283751873297,5.3614672775554754e-5,0.3830251642739562,1.1051031620340552,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,target_emotiondisgust,-0.5852160584468868,0.25787405047362205,-2.2693871576921176,0.023244792461674484,-1.09063990992265,-0.07979220697112366,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,target_emotionfear,-1.363877077731467,0.25748858887093323,-5.2968447406231025,1.1782079060318762e-7,-1.8685454383485371,-0.8592087171143971,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,target_emotionneutral,0.2974821526235176,0.25922305941415236,1.1475913959808643,0.25113728335172736,-0.21058570779050745,0.8055500130375427,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,target_emotionsad,0.43633192798763587,0.2604310514780656,1.6754220570521532,0.0938514519364062,-0.07410355336526941,0.9467674093405412,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,trial_position_z,0.04667476042087489,0.011193808899724721,4.1696942335707305,3.0500857472947165e-5,0.024735298127590514,0.06861422271415928,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,task_positionPosition 2,-0.05036023223727661,0.05980241625889995,-0.8421103257643352,0.3997262019882386,-0.16757081429319304,0.06685034981863983,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,task_positionPosition 3,0.003646850787957151,0.0620615651967988,0.058761824269060806,0.9531418157117285,-0.11799158182195293,0.12528528339786724,model-reported Wald test
sensitivity_no_happy_accuracy_model,1047,64354,fixed,task_positionPosition 4,-0.25498693978373826,0.15458915690567324,-1.6494490615491582,0.09905567065266019,-0.5579761197192692,0.04800224015179261,model-reported Wald test
