metric,gender_original,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
accuracy_common_pct,Man,AI-diverse,463,85.27446329632708,10.647567194022,87.09677419354838,80.70719602977667,92.5,5.88235294117647,100
accuracy_common_pct,Man,AI-non-white,463,85.10565731992502,11.26526561073167,86.36363636363636,80,92.72486772486772,5,100
accuracy_common_pct,Man,AI-white,458,85.91977600630953,13.772199169882198,88.88888888888889,80,100,7.142857142857142,100
accuracy_common_pct,Man,All-stimuli,463,79.44056759458742,9.594779158680346,81.15942028985508,74.66666666666667,86.07594936708861,16.176470588235293,96.1038961038961
accuracy_common_pct,Man,FACES,463,74.2729672752519,10.810201355555911,75,68.35686777920411,81.57894736842105,26.47058823529412,97.77777777777776
accuracy_common_pct,Non-binary,AI-diverse,27,87.08413016368551,9.64273205058483,88.57142857142857,84.1875,92.56425948592411,54.83870967741935,100
accuracy_common_pct,Non-binary,AI-non-white,27,86.77466949833544,9.297471881193236,86.36363636363636,84,92.72486772486772,60,100
accuracy_common_pct,Non-binary,AI-white,26,88.3501221001221,14.343104182004259,90.27777777777777,83.33333333333334,100,33.33333333333333,100
accuracy_common_pct,Non-binary,All-stimuli,27,81.2604134267489,8.402836798474377,82.66666666666667,79.86111111111111,87.08333333333334,54.666666666666664,90.54054054054052
accuracy_common_pct,Non-binary,FACES,27,76.00116185535367,9.497414330923077,78.04878048780488,72.06937799043061,82.07698476343224,52.94117647058824,89.74358974358975
accuracy_common_pct,Other,AI-diverse,2,79.6875,6.629126073623883,79.6875,77.34375,82.03125,75,84.375
accuracy_common_pct,Other,AI-non-white,2,73.24561403508773,14.266189444991758,73.24561403508773,68.2017543859649,78.28947368421053,63.1578947368421,83.33333333333334
accuracy_common_pct,Other,AI-white,2,89.90384615384616,3.3995518326276315,89.90384615384616,88.70192307692308,91.10576923076923,87.5,92.3076923076923
accuracy_common_pct,Other,All-stimuli,2,78.71621621621622,5.255523373683801,78.71621621621622,76.85810810810811,80.57432432432432,75,82.43243243243244
accuracy_common_pct,Other,FACES,2,77.97619047619048,4.208968935634209,77.97619047619048,76.48809523809524,79.46428571428571,75,80.95238095238095
accuracy_common_pct,Rather not say,AI-diverse,1,80.76923076923077,,80.76923076923077,80.76923076923077,80.76923076923077,80.76923076923077,80.76923076923077
accuracy_common_pct,Rather not say,AI-non-white,1,75,,75,75,75,75,75
accuracy_common_pct,Rather not say,AI-white,1,90,,90,90,90,90,90
accuracy_common_pct,Rather not say,All-stimuli,1,71.05263157894737,,71.05263157894737,71.05263157894737,71.05263157894737,71.05263157894737,71.05263157894737
accuracy_common_pct,Rather not say,FACES,1,66,,66,66,66,66,66
accuracy_common_pct,Woman,AI-diverse,512,87.28719997188867,10.106994060797778,89.47368421052632,83.23170731707317,93.93939393939394,10,100
