clinical_score,clinical_label,stimulus_set,metric,performance_variable,method,estimate,conf_low,conf_high,p_value,n,fdr_family,p_fdr
asrs_score,ASRS total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.1402451026169114,-0.20434660789896125,-0.07567683845871359,7.224383712016565e-6,1016,All-stimuli correlations,1.444876742403313e-5
asrs_score,ASRS total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.11265444591433005,-0.17099144270689323,-0.05058222441334116,3.2083248654461466e-4,1016,All-stimuli correlations,6.416649730892293e-4
asrs_score,ASRS total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,-0.043896405340357,-0.10256696038432178,0.007637392352177098,0.16269405208510426,1013,All-stimuli correlations,0.5509612441651077
asrs_score,ASRS total,All-stimuli,Correct RT,correct_rt_common_mean_sec,spearman,-0.05062334803218122,-0.11124400836196183,0.0037886644613685126,0.10733980533197113,1013,All-stimuli correlations,0.43321973078008097
asrs_score,ASRS total,FACES,Accuracy,accuracy_common_pct,pearson,-0.1322344738787045,-0.19259394418761955,-0.06857289007648285,2.354285344492354e-5,1016,"FACES, AI-white, and AI-diverse correlations",5.650284826781649e-5
asrs_score,ASRS total,FACES,Accuracy,accuracy_common_pct,spearman,-0.10799871771490611,-0.16663152881297533,-0.0476339022555979,5.641580109045117e-4,1016,"FACES, AI-white, and AI-diverse correlations",0.0021818545290623716
asrs_score,ASRS total,FACES,Correct RT,correct_rt_common_mean_sec,pearson,-0.03487640430563909,-0.09745918088482008,0.030855945844096153,0.26719305469130594,1014,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
asrs_score,ASRS total,FACES,Correct RT,correct_rt_common_mean_sec,spearman,-0.04179167711798822,-0.10249724945810545,0.02556342917333039,0.18360816966189586,1014,"FACES, AI-white, and AI-diverse correlations",0.4406596071885501
cape15_score,CAPE-15 total,AI-diverse,Accuracy,accuracy_common_pct,pearson,-0.23928728866627977,-0.3140208591010805,-0.1468136038524212,1.072021422949789e-14,1016,"FACES, AI-white, and AI-diverse correlations",1.979722467775189e-13
cape15_score,CAPE-15 total,AI-diverse,Accuracy,accuracy_common_pct,spearman,-0.12577850511493446,-0.18333557114147148,-0.05291360913299088,5.8148969930127805e-5,1016,"FACES, AI-white, and AI-diverse correlations",4.6519175944102244e-4
cape15_score,CAPE-15 total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,0.01589001867385685,-0.04698468297728012,0.07488545248250125,0.6138050709872689,1011,"FACES, AI-white, and AI-diverse correlations",0.8184067613163585
