stimulus_set,n,split_half_r,spearman_brown
AI-diverse,1045,0.5354301523928352,0.6974334215834093
AI-white,1036,0.259709728833751,0.41233265551452436
FACES,1045,0.42659857425223696,0.5980639290570468
