sample,variable,summary_type,level_or_statistic,value,denominator,percent
Full participant frame,education,categorical,Attended college but has not graduated,235,1277,18.402505873140175
Full participant frame,education,categorical,Attended graduate school,56,1277,4.385277995301488
Full participant frame,education,categorical,Completed master's or doctoral degree,182,1277,14.252153484729835
Full participant frame,education,categorical,Graduated college,399,1277,31.245105716523103
Full participant frame,education,categorical,Graduated high school or completed GED,173,1277,13.547376664056381
Full participant frame,education,categorical,Has not completed high school,18,1277,1.4095536413469067
Full participant frame,education,categorical,Missing,214,1277,16.758026624902115
Full participant frame,employment,categorical,Disabled,66,1277,5.168363351605325
Full participant frame,employment,categorical,Full Time,509,1277,39.85904463586531
Full participant frame,employment,categorical,Homemaker,54,1277,4.22866092404072
Full participant frame,employment,categorical,Missing,215,1277,16.8363351605325
Full participant frame,employment,categorical,Part Time,199,1277,15.58339859044636
Full participant frame,employment,categorical,Retired (other than disability),52,1277,4.072043852779953
Full participant frame,employment,categorical,Seeking work,58,1277,4.541895066562255
Full participant frame,employment,categorical,Studying,56,1277,4.385277995301488
Full participant frame,employment,categorical,Unemployed,68,1277,5.324980422866092
Full participant frame,prior_mh_status,categorical,Missing,218,1277,17.07126076742365
Full participant frame,prior_mh_status,categorical,No prior condition reported,169,1277,13.234142521534848
Full participant frame,prior_mh_status,categorical,Prior condition reported,890,1277,69.6945967110415
Full participant frame,task_position,categorical,Missing,208,1277,16.288175411119813
Full participant frame,task_position,categorical,Position 1,380,1277,29.757243539545808
Full participant frame,task_position,categorical,Position 2,351,1277,27.48629600626468
Full participant frame,task_position,categorical,Position 3,308,1277,24.119028974158184
Full participant frame,task_position,categorical,Position 4,30,1277,2.3492560689115116
Primary accuracy sample,age,numeric,n,1008,1047,
Primary accuracy sample,age,numeric,missing,39,1047,
Primary accuracy sample,age,numeric,mean,41.2906746031746,1047,
Primary accuracy sample,age,numeric,sd,13.685785591281057,1047,
Primary accuracy sample,age,numeric,median,40,1047,
Primary accuracy sample,age,numeric,q25,30.75,1047,
Primary accuracy sample,age,numeric,q75,51,1047,
Primary accuracy sample,age,numeric,min,18,1047,
Primary accuracy sample,age,numeric,max,80,1047,
Primary accuracy sample,cape15_score,numeric,n,1019,1047,
Primary accuracy sample,cape15_score,numeric,missing,28,1047,
Primary accuracy sample,cape15_score,numeric,mean,22.197252208047104,1047,
Primary accuracy sample,cape15_score,numeric,sd,7.493766388266196,1047,
Primary accuracy sample,cape15_score,numeric,median,20,1047,
Primary accuracy sample,cape15_score,numeric,q25,17,1047,
Primary accuracy sample,cape15_score,numeric,q75,25,1047,
Primary accuracy sample,cape15_score,numeric,min,15,1047,
Primary accuracy sample,cape15_score,numeric,max,55,1047,
Primary accuracy sample,altman_srms_score,numeric,n,1020,1047,
Primary accuracy sample,altman_srms_score,numeric,missing,27,1047,
Primary accuracy sample,altman_srms_score,numeric,mean,4.0588235294117645,1047,
Primary accuracy sample,altman_srms_score,numeric,sd,3.487601844019686,1047,
Primary accuracy sample,altman_srms_score,numeric,median,3,1047,
Primary accuracy sample,altman_srms_score,numeric,q25,1,1047,
Primary accuracy sample,altman_srms_score,numeric,q75,6,1047,
Primary accuracy sample,altman_srms_score,numeric,min,0,1047,
Primary accuracy sample,altman_srms_score,numeric,max,19,1047,
Primary accuracy sample,isi_score,numeric,n,1019,1047,
Primary accuracy sample,isi_score,numeric,missing,28,1047,
Primary accuracy sample,isi_score,numeric,mean,9.944062806673209,1047,
Primary accuracy sample,isi_score,numeric,sd,6.543327828911031,1047,
Primary accuracy sample,isi_score,numeric,median,9,1047,
Primary accuracy sample,isi_score,numeric,q25,5,1047,
Primary accuracy sample,isi_score,numeric,q75,14,1047,
Primary accuracy sample,isi_score,numeric,min,0,1047,
Primary accuracy sample,isi_score,numeric,max,28,1047,
Primary accuracy sample,ocir_score,numeric,n,1018,1047,
Primary accuracy sample,ocir_score,numeric,missing,29,1047,
Primary accuracy sample,ocir_score,numeric,mean,17.55500982318271,1047,
Primary accuracy sample,ocir_score,numeric,sd,14.515153965459845,1047,
Primary accuracy sample,ocir_score,numeric,median,14,1047,
Primary accuracy sample,ocir_score,numeric,q25,5,1047,
Primary accuracy sample,ocir_score,numeric,q75,26.75,1047,
Primary accuracy sample,ocir_score,numeric,min,0,1047,
Primary accuracy sample,ocir_score,numeric,max,69,1047,
Primary accuracy sample,minispin_score,numeric,n,1018,1047,
Primary accuracy sample,minispin_score,numeric,missing,29,1047,
Primary accuracy sample,minispin_score,numeric,mean,5.274066797642436,1047,
Primary accuracy sample,minispin_score,numeric,sd,3.746979821293109,1047,
Primary accuracy sample,minispin_score,numeric,median,5,1047,
Primary accuracy sample,minispin_score,numeric,q25,2,1047,
