model,participant_n,trial_n,effect,term,estimate,std.error,statistic,conf.low,conf.high,p.value,p_method
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,(Intercept),0.9891884564532125,0.022719565870831654,43.5390562512101,0.944658925601997,1.033717987304428,0,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,trial_stratumAI-white,-0.1422439989111239,0.019703555578388342,-7.219204592045452,-0.18086225821214832,-0.1036257396100995,5.229253177934033e-13,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,trial_stratumAI-non-white,-0.13263845147808656,0.0157768380395944,-8.40716315558352,-0.16356048582561308,-0.10171641713056004,4.200465728988918e-17,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,target_emotiondisgust,0.04361055373485512,0.02428979936768849,1.7954266758114132,-0.0039965782175180944,0.09121768568722832,0.07258574548144649,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,target_emotionfear,0.1889693930069045,0.02433794277510714,7.764394663635354,0.1412679017098977,0.23667088430391128,8.2036079439967e-15,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,target_emotionhappy,-0.310504021082065,0.024161014682350157,-12.851447886784781,-0.35785873968941473,-0.26314930247471524,8.441530120405156e-38,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,target_emotionneutral,-0.16538031969693595,0.024204696541380015,-6.832571497610145,-0.21282065317476198,-0.11793998621910992,8.340581232935865e-12,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,target_emotionsad,-0.07278143817005178,0.02421977558261163,-3.005041806510567,-0.12025132602561317,-0.025311550314490387,0.0026554434788168707,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,trial_position_z,-0.07747659203855092,0.001572998092604103,-49.25409153566626,-0.08055961164780516,-0.07439357242929669,0,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,task_positionPosition 2,-0.007670066846783617,0.016711849657079267,-0.4589597802858715,-0.04042469028970703,0.02508455659613979,0.6462630485426696,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,task_positionPosition 3,-0.04080181933765515,0.017317893423018583,-2.3560498001114976,-0.07474426673487464,-0.006859371940435663,0.01847044131324558,large-sample normal approximation
sensitivity_rt_0_3_to_10_model,1046,60968,fixed,task_positionPosition 4,-0.060996613423453354,0.04339609517116872,-1.4055783863239837,-0.14605139702861658,0.024058170181709866,0.159849357829132,large-sample normal approximation
