model,odds_ratio,odds_ratio_low,odds_ratio_high,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_fdr
Any valid emotion-recognition data,31.38123405078364,13.515974869120996,84.60507320675926,1019,(Intercept),3.446210072560435,0.46374527676749927,7.431256435821788,1.0757093343337068e-13,2.6038723095073877,4.4379942317972,
Any valid emotion-recognition data,0.9826382179313072,0.7331987936499293,1.3284860729662387,1019,age_z,-0.017514265304897313,0.15118890380384986,-0.11584358947148694,0.907776503646372,-0.31033840833991366,0.2840400028855803,0.907776503646372
Any valid emotion-recognition data,0.5376537571870096,0.2929871971279754,0.9626451480717925,1019,gender_binaryMan,-0.6205405000048378,0.3016039937490565,-2.0574677818130818,0.03964125094789551,-1.227626366728717,-0.03807042099838326,0.15856500379158203
Any valid emotion-recognition data,1.1329516624828735,0.5989481710583259,2.2372855360351087,1019,participant_white_statusNon-white,0.1248263178373301,0.3340470587655412,0.37367884123458905,0.7086432690391575,-0.5125802103893476,0.805263316756275,0.907776503646372
Any valid emotion-recognition data,0.8078361283917956,0.32323119429714864,1.7480187078953,1019,prior_mh_binaryPrior condition,-0.21339605242634663,0.4243858749659936,-0.5028349552007267,0.6150803153659673,-1.129387439984159,0.5584829796333383,0.907776503646372
Completed 80 valid trials among starters,125.19382221833915,21.61370817671435,2470.92533490393,969,(Intercept),4.829863114144577,1.1096340109698322,4.352663190201987,1.3449369074729594e-5,3.073327751203556,7.812347988981668,
Completed 80 valid trials among starters,0.6452319508536423,0.3323495096033978,1.2489630950277557,969,age_z,-0.4381454131053058,0.333117486821163,-1.3152879402591313,0.1884131496208644,-1.1015681240382922,0.22231368309101313,0.7536525984834576
Completed 80 valid trials among starters,1.5918006195466832,0.413326163386392,7.635158908581555,969,gender_binaryMan,0.4648658406009215,0.7149639478564564,0.6501947993246966,0.5155663999833151,-0.8835182558474448,2.0327637516277512,0.8481487962045103
Completed 80 valid trials among starters,1.1747124980371921,0.25914391576287626,8.309366605760856,969,participant_white_statusNon-white,0.16102343513493156,0.8409370574798252,0.19148096008219337,0.8481487962045103,-1.3503717122879484,2.1173833852356774,0.8481487962045103
Completed 80 valid trials among starters,0.7251741164902997,0.03852156873808928,4.114685171104885,969,prior_mh_binaryPrior condition,-0.3213434922851456,1.0753366832917564,-0.2988305869948267,0.7650693116472782,-3.2565369675935805,1.4145623235727425,0.8481487962045103
