model,participant_n,trial_n,effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_method
gender_moderation_accuracy_model,978,72464,fixed,(Intercept),1.54099145205471,0.23800743629032395,6.474551703397169,9.509384584419544e-11,1.074505448872964,2.0074774552364563,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-white,0.8488474093281423,0.3055485343120466,2.778109904010348,0.005467612127204216,0.24998328654753021,1.4477115321087544,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-non-white,0.6403428762883343,0.2301051854894679,2.7828267969112903,0.005388756526444803,0.18934500007306865,1.0913407525036,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,gender_binaryMan,-0.34538140434804104,0.05926890570544782,-5.827362598265326,5.631017752147214e-9,-0.4615463249338193,-0.2292164837622628,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,face_genderman,0.5609701397784039,0.24350710742096787,2.303711566039078,0.021238840150479,0.0837049792537809,1.038235300303027,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,target_emotiondisgust,-0.5647021200933932,0.2449281465767671,-2.3055827922839414,0.02113395570687503,-1.0447524661840037,-0.08465177400278245,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,target_emotionfear,-1.3418999997990273,0.24449509319166388,-5.488453703842183,4.054675079366932e-8,-1.8211015768514525,-0.862698422746602,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,target_emotionhappy,2.3629042937303755,0.25827071546040475,9.148943926988231,5.749282141267776e-20,1.8567029931665902,2.869105594294161,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,target_emotionneutral,0.32428497671192313,0.24649100117676803,1.3156057428618504,0.1883064050387478,-0.15882850810776217,0.8073984615316084,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,target_emotionsad,0.4809088729864034,0.2480012235066762,1.9391391146643167,0.05248440096929754,-0.005164593208550061,0.9669823391813568,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_position_z,0.05037013555642671,0.01140974909195176,4.414657601187473,1.0116998946032221e-5,0.028007438263562674,0.07273283284929075,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,task_positionPosition 2,-0.05559742034730458,0.06075012842259726,-0.9151819393788141,0.3600961243770702,-0.1746654841117783,0.06347064341716911,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,task_positionPosition 3,-0.023177118099169884,0.062832561561673,-0.368871131832187,0.7122237817811865,-0.1463266758164447,0.09997243961810492,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,task_positionPosition 4,-0.2975354500846763,0.15168958992695206,-1.9614757362582236,0.04982355273172351,-0.594841583171152,-2.2931699820055718e-4,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-white:gender_binaryMan,0.0596858915201238,0.10622178652429815,0.5618987730588649,0.574184989689104,-0.14850498444100257,0.26787676748125017,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-non-white:gender_binaryMan,0.15498228561359617,0.06894575407961565,2.247887309124637,0.02458337661597458,0.019851090730594045,0.2901134804965983,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-white:face_genderman,-0.16037153315593833,0.4159797824227201,-0.3855272297656241,0.6998468362185226,-0.9756769250012773,0.6549338586894007,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-non-white:face_genderman,-0.13072744626492147,0.32772186378458984,-0.39889754304231606,0.6899686996379832,-0.7730504962290589,0.5115956036992159,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,gender_binaryMan:face_genderman,0.06400375563730756,0.05983421796733821,1.069684836062291,0.28476119418272844,-0.05326915662179471,0.18127666789640984,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-white:gender_binaryMan:face_genderman,-0.1352900077787262,0.14937910672595495,-0.9056822653714482,0.365104051995088,-0.42806767700436277,0.15748766144691037,model-reported Wald test
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-non-white:gender_binaryMan:face_genderman,-0.07667762739059375,0.10434305857201137,-0.7348608373184251,0.46242425133898196,-0.28118626422848936,0.12783100944730186,model-reported Wald test
