sample,variable,summary_type,level_or_statistic,value,denominator,percent
Full participant frame,age,numeric,n,1064,1277,
Full participant frame,age,numeric,missing,213,1277,
Full participant frame,age,numeric,mean,41.29323308270677,1277,
Full participant frame,age,numeric,sd,13.593151368889078,1277,
Full participant frame,age,numeric,median,40,1277,
Full participant frame,age,numeric,q25,31,1277,
Full participant frame,age,numeric,q75,51,1277,
Full participant frame,age,numeric,min,18,1277,
Full participant frame,age,numeric,max,80,1277,
Full participant frame,cape15_score,numeric,n,1081,1277,
Full participant frame,cape15_score,numeric,missing,196,1277,
Full participant frame,cape15_score,numeric,mean,22.354301572617945,1277,
Full participant frame,cape15_score,numeric,sd,7.660704354141487,1277,
Full participant frame,cape15_score,numeric,median,20,1277,
Full participant frame,cape15_score,numeric,q25,17,1277,
Full participant frame,cape15_score,numeric,q75,25,1277,
Full participant frame,cape15_score,numeric,min,15,1277,
