sample,variable,summary_type,level_or_statistic,value,denominator,percent
White-status moderation,cape15_score,numeric,mean,22.152834008097166,999,
White-status moderation,cape15_score,numeric,sd,7.461208160788666,999,
White-status moderation,cape15_score,numeric,median,20,999,
White-status moderation,cape15_score,numeric,q25,17,999,
White-status moderation,cape15_score,numeric,q75,25,999,
White-status moderation,cape15_score,numeric,min,15,999,
White-status moderation,cape15_score,numeric,max,55,999,
White-status moderation,altman_srms_score,numeric,n,989,999,
White-status moderation,altman_srms_score,numeric,missing,10,999,
White-status moderation,altman_srms_score,numeric,mean,4.018200202224469,999,
White-status moderation,altman_srms_score,numeric,sd,3.4634693349836994,999,
White-status moderation,altman_srms_score,numeric,median,3,999,
White-status moderation,altman_srms_score,numeric,q25,1,999,
White-status moderation,altman_srms_score,numeric,q75,6,999,
White-status moderation,altman_srms_score,numeric,min,0,999,
White-status moderation,altman_srms_score,numeric,max,19,999,
White-status moderation,isi_score,numeric,n,988,999,
White-status moderation,isi_score,numeric,missing,11,999,
White-status moderation,isi_score,numeric,mean,9.989878542510121,999,
White-status moderation,isi_score,numeric,sd,6.528706681072628,999,
White-status moderation,isi_score,numeric,median,9,999,
White-status moderation,isi_score,numeric,q25,5,999,
White-status moderation,isi_score,numeric,q75,14,999,
White-status moderation,isi_score,numeric,min,0,999,
White-status moderation,isi_score,numeric,max,28,999,
White-status moderation,ocir_score,numeric,n,987,999,
White-status moderation,ocir_score,numeric,missing,12,999,
White-status moderation,ocir_score,numeric,mean,17.534954407294833,999,
White-status moderation,ocir_score,numeric,sd,14.49178070441085,999,
White-status moderation,ocir_score,numeric,median,14,999,
White-status moderation,ocir_score,numeric,q25,5.5,999,
White-status moderation,ocir_score,numeric,q75,26,999,
White-status moderation,ocir_score,numeric,min,0,999,
White-status moderation,ocir_score,numeric,max,69,999,
White-status moderation,minispin_score,numeric,n,987,999,
White-status moderation,minispin_score,numeric,missing,12,999,
White-status moderation,minispin_score,numeric,mean,5.288753799392097,999,
White-status moderation,minispin_score,numeric,sd,3.750686910335806,999,
