metric,participant_ethnicity_group,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
accuracy_common_pct,Asian,AI-diverse,61,85.68232329158707,9.162156975711966,87.87878787878788,79.3103448275862,91.66666666666666,59.09090909090909,100
accuracy_common_pct,Asian,AI-non-white,62,85.28920723097625,9.543221927799898,85.71428571428571,78.88795986622074,92.52136752136752,60.60606060606061,100
accuracy_common_pct,Asian,AI-white,60,87.1140813162872,12.397099156796713,90,80,100,50,100
accuracy_common_pct,Asian,All-stimuli,62,80.13491419724649,8.459965389342969,80.81831831831832,74.0605331358756,86.44020733061829,63.38028169014085,97.435897435897445
accuracy_common_pct,Asian,FACES,62,75.46569583784013,10.230211257173211,75.67567567567568,67.9326923076923,82.17948717948717,56.75675675675676,97.36842105263158
accuracy_common_pct,Black,AI-diverse,122,84.59952852684009,10.976928876285447,86.42506142506141,79.0909090909091,91.8918918918919,26.666666666666668,100
accuracy_common_pct,Black,AI-non-white,122,84.35606459413457,11.331938573834679,85.18518518518519,79.375,91.91666666666666,30,100
accuracy_common_pct,Black,AI-white,119,85.55228618253828,14.304828551516758,90,77.77777777777779,100,20,100
accuracy_common_pct,Black,All-stimuli,122,78.7917422955315,10.641206954454356,79.35397935397935,74.05088062622309,86.25380517503805,21.333333333333336,97.4025974025974
accuracy_common_pct,Black,FACES,122,73.59573494662844,12.037514146084128,74.09937888198758,67.5,81.57894736842105,17.77777777777778,97.77777777777776
accuracy_common_pct,Latino,AI-diverse,38,89.93057643743626,7.485920104036857,93.31116038433112,83.33333333333334,95.05941213258286,70,100
accuracy_common_pct,Latino,AI-non-white,38,89.59691807297119,9.246990312865954,92.15384615384616,84,95.95833333333334,65.21739130434783,100
accuracy_common_pct,Latino,AI-white,37,90.57321057321057,8.393297894566713,90.9090909090909,85.71428571428571,100,72.72727272727273,100
accuracy_common_pct,Latino,All-stimuli,38,83.34906561764221,6.488949257805025,82.8917748917749,78.08219178082192,88.19322569322568,71.7948717948718,96.1038961038961
accuracy_common_pct,Latino,FACES,38,77.43157273941871,9.248114606136731,76.45576707726764,71.97115384615384,85.37768537768538,61.904761904761905,93.33333333333331
accuracy_common_pct,Missing,AI-diverse,1,83.87096774193549,,83.87096774193549,83.87096774193549,83.87096774193549,83.87096774193549,83.87096774193549
accuracy_common_pct,Missing,AI-non-white,1,85.71428571428571,,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571
accuracy_common_pct,Missing,AI-white,1,80,,80,80,80,80,80
accuracy_common_pct,Missing,All-stimuli,1,89.33333333333333,,89.33333333333333,89.33333333333333,89.33333333333333,89.33333333333333,89.33333333333333
accuracy_common_pct,Missing,FACES,1,93.18181818181816,,93.18181818181816,93.18181818181816,93.18181818181816,93.18181818181816,93.18181818181816
accuracy_common_pct,Mixed/multiple,AI-diverse,47,87.7103832422154,9.329874762122133,88.23529411764706,82.29166666666667,94.28104575163398,48.48484848484848,100
accuracy_common_pct,Mixed/multiple,AI-non-white,47,87.69849857423482,9.54531339558107,88.88888888888889,84,92.72486772486772,45.45454545454545,100
accuracy_common_pct,Mixed/multiple,AI-white,47,88.00771332686226,12.578111934854993,90.9090909090909,79.28571428571428,100,54.54545454545454,100
