dataset,variable,n_rows,n_missing,percent_missing
participant,valid_rt_trials,1277,0,0
participant,has_faces_trials,1277,0,0
participant,has_ai_white_trials,1277,0,0
participant,has_ai_nonwhite_trials,1277,0,0
participant,emorec_attempts,1277,0,0
participant,included_any_emorec,1277,0,0
participant,included_primary_accuracy,1277,0,0
participant,included_primary_rt,1277,0,0
participant,completed_80_valid_trials,1277,0,0
participant,included_gender_moderation,1277,0,0
participant,included_race_moderation,1277,0,0
trial,participant_id,83206,0,0
trial,trial_number,83206,0,0
trial,row_in_file,83206,0,0
trial,source,83206,0,0
trial,trial_stratum,83206,0,0
trial,target_emotion,83206,0,0
trial,response_emotion,83206,0,0
trial,correct,83206,0,0
trial,rt_sec,83206,2,0.0024036728120568228
trial,stimulus_id,83206,0,0
trial,face_age,83206,0,0
trial,face_gender,83206,0,0
trial,face_ethnicity,83206,0,0
trial,face_style,83206,0,0
trial,stimulus_variant,83206,0,0
trial,common_emotion,83206,0,0
trial,valid_trial_number,83206,0,0
trial,valid_source,83206,0,0
trial,valid_target,83206,0,0
trial,valid_stimulus_metadata,83206,0,0
trial,duplicate_trial_number,83206,0,0
trial,trial_number_occurrence,83206,0,0
trial,accuracy_included,83206,0,0
trial,rt_in_bounds,83206,0,0
trial,rt_included,83206,0,0
trial,task_position,83206,0,0
trial,gender_binary,83206,5168,6.21109054635483
trial,participant_ethnicity_group,83206,2776,3.3362978631348703
trial,participant_white_status,83206,3421,4.111482345023195
trial,face_white_status,83206,0,0
trial,gender_congruence,83206,5168,6.21109054635483
trial,white_status_congruence,83206,3421,4.111482345023195
trial,exact_ethnicity_congruence,83206,11576,13.912458236184891
