metric,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
accuracy_common_pct,AI-diverse,1039,86.1487464496136,10.725116867586975,88.23529411764706,81.57894736842105,93.5483870967742,5.88235294117647,100
accuracy_common_pct,AI-non-white,1040,85.71592817139643,11.260749731424495,88,80.76923076923077,93.10344827586206,5,100
accuracy_common_pct,AI-white,1029,87.29177167116629,13.746682419336524,90,81.81818181818183,100,7.142857142857142,100
accuracy_common_pct,All-stimuli,1040,80.88911386836791,9.409224993789438,82.43243243243244,76.62337662337663,87.04545454545453,16.176470588235293,97.435897435897445
accuracy_common_pct,FACES,1040,76.19592192896285,10.567404653388575,77.27272727272727,70.2558941920644,83.72093023255815,17.77777777777778,97.82608695652172
correct_rt_common_mean_sec,AI-diverse,1035,2.6464822287481544,0.9196177470528745,2.423988,2.0142193059628544,3.0272842731829575,1.1754125,8.506703846153846
correct_rt_common_mean_sec,AI-non-white,1039,2.660025116198867,0.9512857566732098,2.4343736842105264,2.0001100000000003,3.0640309615384616,1.1092307692307692,8.611521052631579
correct_rt_common_mean_sec,AI-white,1033,2.613917209817884,1.0946303926530125,2.310653846153846,1.9061307692307692,2.9863,1.154830769230769,9.560133333333331
correct_rt_common_mean_sec,All-stimuli,1037,2.80148760803446,0.895861837446541,2.5862291666666666,2.179510344827586,3.187311111111111,1.2144689655172414,9.245607142857144
correct_rt_common_mean_sec,FACES,1038,2.95077599321323,0.9748839482018694,2.728154571428571,2.260334429824561,3.3931308247903074,1.0696166666666669,9.88599
