clinical_score,metric,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high
cape15_score,accuracy_common_pct,959,(Intercept),0.11169127016803723,0.06183182323486905,1.8063719347847205,0.07117562221148338,-0.009650984714939845,0.23303352505101432
cape15_score,accuracy_common_pct,959,faces_z,-0.11073433867156182,0.03669826635024686,-3.017426970928749,0.002617056181977581,-0.18275308494595294,-0.03871559239717072
cape15_score,accuracy_common_pct,959,ai_diverse_z,-0.18106634941006775,0.036331547051770975,-4.983722525001634,7.405918067307053e-7,-0.2523654250640869,-0.1097672737560486
cape15_score,accuracy_common_pct,959,age_z,-0.219320127589209,0.0317006926140922,-6.918464850566469,8.368354348692057e-12,-0.28153135349038605,-0.15710890168803196
cape15_score,accuracy_common_pct,959,gender_binaryWoman,-0.1916211998849723,0.06162514135407046,-3.109464670985543,0.0019299338062122085,-0.31255785059606056,-0.07068454917388405
cape15_score,accuracy_common_pct,959,participant_white_statusWhite,-0.016476904069134567,0.06705611669466487,-0.2457181370069631,0.8059533384228931,-0.14807160688938226,0.11511779875111311
cape15_score,correct_rt_common_mean_sec,959,(Intercept),0.14590811851984084,0.06422046352056372,2.2719879384414643,0.0233093738914048,0.019878261311609052,0.27193797572807266
cape15_score,correct_rt_common_mean_sec,959,faces_z,0.015668229297790524,0.04868186885111015,0.32184937981141665,0.7476373848124218,-0.07986781394441846,0.1112042725399995
cape15_score,correct_rt_common_mean_sec,959,ai_diverse_z,0.048408833500987944,0.04890499825474523,0.9898545185264547,0.3224964825444,-0.047565091458939904,0.1443827584609158
cape15_score,correct_rt_common_mean_sec,959,age_z,-0.22835656673158308,0.03349235651368306,-6.818169591569039,1.6349181381047673e-11,-0.2940838548511257,-0.16262927861204046
cape15_score,correct_rt_common_mean_sec,959,gender_binaryWoman,-0.25562020819981773,0.0631488287428097,-4.04790101873304,5.587041989753896e-5,-0.37954702892067715,-0.13169338747895834
cape15_score,correct_rt_common_mean_sec,959,participant_white_statusWhite,-0.017433058273454757,0.06993198378583367,-0.24928591081933849,0.8031933462074343,-0.1546715247631098,0.11980540821620028
altman_srms_score,accuracy_common_pct,960,(Intercept),0.21559020359536776,0.06351908976865002,3.3941009605237253,7.168939119443165e-4,0.09093692792295094,0.3402434792677846
altman_srms_score,accuracy_common_pct,960,faces_z,-0.07599081101195043,0.03776549471000915,-2.0121757068314072,0.044482105203875875,-0.15010384758312958,-0.0018777744407712793
altman_srms_score,accuracy_common_pct,960,ai_diverse_z,-0.12007901880987329,0.037390458853302194,-3.2114882377076883,0.0013646732407228681,-0.19345606485909433,-0.046701972760652244
altman_srms_score,accuracy_common_pct,960,age_z,-0.15477403146965135,0.032612982835155034,-4.745779686941524,2.3947900403045975e-6,-0.21877550180962502,-0.0907725611296777
altman_srms_score,accuracy_common_pct,960,gender_binaryWoman,-0.07623896809013449,0.06341399392579855,-1.2022420189988756,0.22956809692278693,-0.20068599803203624,0.048208061851767264
altman_srms_score,accuracy_common_pct,960,participant_white_statusWhite,-0.2590144308789791,0.06895791734164247,-3.756123167057495,1.8302212847750394e-4,-0.3943411540970121,-0.12368770766094608
altman_srms_score,correct_rt_common_mean_sec,960,(Intercept),0.23744574371380914,0.06461901673701581,3.6745490059088555,2.5153926888938076e-4,0.11063391224176408,0.3642575751858542
altman_srms_score,correct_rt_common_mean_sec,960,faces_z,-0.053237058890405184,0.04907146181516501,-1.08488838361756,0.2782451713286198,-0.14953753296163877,0.0430634151808284
altman_srms_score,correct_rt_common_mean_sec,960,ai_diverse_z,0.09145562464328141,0.049302476722943835,1.854990473545943,0.0639059291841398,-0.005298205499153358,0.18820945478571618
altman_srms_score,correct_rt_common_mean_sec,960,age_z,-0.16079082831787983,0.033747953967736236,-4.764461527700296,2.187957236097235e-6,-0.2270196270088291,-0.09456202962693057
altman_srms_score,correct_rt_common_mean_sec,960,gender_binaryWoman,-0.11612454446869666,0.06364149397716314,-1.8246671662102454,0.06836390077776303,-0.24101803273866207,0.008768943801268747
altman_srms_score,correct_rt_common_mean_sec,960,participant_white_statusWhite,-0.26042591105607116,0.07044163730809247,-3.697045114341102,2.3055879171062898e-4,-0.3986643660805924,-0.12218745603154993
isi_score,accuracy_common_pct,959,(Intercept),-0.06899328629455002,0.06601494185987836,-1.0451162168860715,0.2962342739079986,-0.19854472893628888,0.06055815634718882
isi_score,accuracy_common_pct,959,faces_z,-0.020628204771056355,0.03913131679380531,-0.5271533508507412,0.5982097885450146,-0.09742170636754055,0.05616529682542784
isi_score,accuracy_common_pct,959,ai_diverse_z,-0.07007175800350193,0.03875212145744364,-1.808204438057734,0.07088981396327972,-0.14612110529969233,0.005977589292688462
isi_score,accuracy_common_pct,959,age_z,-0.1042943952997118,0.03384978214961178,-3.0810950226723373,0.0021216169128818224,-0.17072311563243417,-0.03786567496698942
isi_score,accuracy_common_pct,959,gender_binaryWoman,0.011114309672145481,0.06581202468252814,0.1688796192756568,0.8659271669224721,-0.11803891686393796,0.1402675362082289
isi_score,accuracy_common_pct,959,participant_white_statusWhite,0.09304771703745687,0.07160359709377295,1.2994838362044918,0.1940921950793363,-0.04747121762321205,0.2335666516981258
isi_score,correct_rt_common_mean_sec,959,(Intercept),-0.045142064406019485,0.06642372192953887,-0.6796075723354588,0.4969180084674988,-0.1754957200961333,0.08521159128409433
isi_score,correct_rt_common_mean_sec,959,faces_z,-0.032701470939275785,0.05036681186873293,-0.6492662474746875,0.5163227395207053,-0.13154414132607098,0.06614119944751942
isi_score,correct_rt_common_mean_sec,959,ai_diverse_z,-0.009050459551783548,0.05060427236372022,-0.17884773615028016,0.8580952752224955,-0.10835913579769656,0.09025821669412946
isi_score,correct_rt_common_mean_sec,959,age_z,-0.09071695139344246,0.034630083599979745,-2.619599549378377,0.00894323129626256,-0.15867697927173807,-0.022756923515146854
isi_score,correct_rt_common_mean_sec,959,gender_binaryWoman,-0.01287119979024287,0.06531925026078586,-0.19705063574451406,0.8438299293111486,-0.14105737802733415,0.1153149784468484
isi_score,correct_rt_common_mean_sec,959,participant_white_statusWhite,0.07644462866338703,0.07232982983867796,1.0568893751566482,0.2908299122439445,-0.06549950606783284,0.2183887633946069
ocir_score,accuracy_common_pct,958,(Intercept),-0.02997255287435198,0.06264552635054264,-0.4784468200751633,0.6324420715398735,-0.1529118288273097,0.09296672307860573
ocir_score,accuracy_common_pct,958,faces_z,-0.09177846183495128,0.03722583779365605,-2.4654505385125804,0.013859567806472364,-0.16483264162563127,-0.01872428204427129
ocir_score,accuracy_common_pct,958,ai_diverse_z,-0.15110712579805954,0.0368576396485627,-4.099750478838709,4.4889535309005805e-5,-0.22343873183125038,-0.07877551976486871
ocir_score,accuracy_common_pct,958,age_z,-0.26285639808042294,0.03216313923041293,-8.172597711851157,9.561705071136643e-16,-0.32597523959570196,-0.19973755656514394
ocir_score,accuracy_common_pct,958,gender_binaryWoman,0.021456028242471847,0.0625531027499535,0.3430050197228274,0.7316704088957918,-0.10130187018523668,0.14421392667018038
ocir_score,accuracy_common_pct,958,participant_white_statusWhite,0.02763728539100104,0.06806379519370843,0.40604972603049516,0.6847973143253431,-0.10593512092740218,0.16120969170940427
ocir_score,correct_rt_common_mean_sec,958,(Intercept),-0.005556222140836233,0.0641676930462169,-0.08658908988413146,0.9310163464476207,-0.13148268779986746,0.120370243518195
ocir_score,correct_rt_common_mean_sec,958,faces_z,-0.0598046005078508,0.04879279734430066,-1.2256850142418898,0.22062035429103635,-0.15555846397867407,0.03594926296297246
ocir_score,correct_rt_common_mean_sec,958,ai_diverse_z,0.12353008768719838,0.04903243018279472,2.519354786753861,0.01191977203646766,0.02730595459976816,0.21975422077462858
ocir_score,correct_rt_common_mean_sec,958,age_z,-0.2743218482940699,0.033529817880543523,-8.181429713438787,8.92902284331526e-16,-0.3401227406036426,-0.2085209559844972
ocir_score,correct_rt_common_mean_sec,958,gender_binaryWoman,-0.026894422385343127,0.06321367850846661,-0.42545257640308,0.6706029414858488,-0.1509486736445252,0.09715982887383892
ocir_score,correct_rt_common_mean_sec,958,participant_white_statusWhite,0.028918409886119927,0.07001783856823401,0.41301488988321544,0.6796887089658759,-0.10848872640646551,0.16632554617870537
minispin_score,accuracy_common_pct,958,(Intercept),-0.21187288779786553,0.06394352383892112,-3.313437781933795,9.563001787472314e-4,-0.33735943058225,-0.08638634501348108
minispin_score,accuracy_common_pct,958,faces_z,-0.003868524544670027,0.03795452700442435,-0.10192524713110175,0.9188374734809759,-0.07835272702308839,0.07061567793374833
minispin_score,accuracy_common_pct,958,ai_diverse_z,-0.06580541560688023,0.03762075132265737,-1.7491786658510577,0.08058238362069613,-0.1396345970001931,0.008023765786432616
minispin_score,accuracy_common_pct,958,age_z,-0.28786105925068695,0.032810560719179455,-8.773426998533964,7.888063717555098e-18,-0.352250438882606,-0.2234716796187679
minispin_score,accuracy_common_pct,958,gender_binaryWoman,0.1479390189646187,0.06373400266257828,2.3211945395590505,0.020486743323807507,0.0228636528949491,0.2730143850342883
minispin_score,accuracy_common_pct,958,participant_white_statusWhite,0.1980135984463334,0.06933516540889448,2.8558898976958633,0.004384950136324047,0.0619461802279819,0.3340810166646849
minispin_score,correct_rt_common_mean_sec,958,(Intercept),-0.20518027749143022,0.06426997875737918,-3.192474643036542,0.001456850981460611,-0.33130747466319965,-0.0790530803196608
minispin_score,correct_rt_common_mean_sec,958,faces_z,0.01981953995475442,0.048710186390062506,0.4068869660247873,0.6841824701131252,-0.07577220290680153,0.11541128281631036
minispin_score,correct_rt_common_mean_sec,958,ai_diverse_z,0.006169810331320775,0.048948551808783665,0.12604684108782196,0.8997214605842195,-0.08988971488752315,0.1022293355501647
minispin_score,correct_rt_common_mean_sec,958,age_z,-0.28877920710484434,0.033528015735661554,-8.613071807816196,2.917934415677385e-17,-0.3545765627790041,-0.22298185143068455
minispin_score,correct_rt_common_mean_sec,958,gender_binaryWoman,0.13495454798080575,0.0631935324348,2.1355753157183495,0.032968688390852874,0.010939832564869828,0.25896926339674164
minispin_score,correct_rt_common_mean_sec,958,participant_white_statusWhite,0.19817772730834737,0.06998539141697259,2.831701349323111,0.004727704184450624,0.06083426721923882,0.33552118739745596
asrs_score,accuracy_common_pct,959,(Intercept),-0.31940326605830704,0.06255398437885186,-5.1060419129159476,3.9718762791244437e-7,-0.4421627306727016,-0.19664380144391244
asrs_score,accuracy_common_pct,959,faces_z,-0.06731663588085367,0.037079783916787824,-1.8154538341410384,0.06976838002352787,-0.14008409373092803,0.005450821969220698
asrs_score,accuracy_common_pct,959,ai_diverse_z,-0.09902227143857593,0.03672046860908598,-2.6966505382252723,0.007127622923488363,-0.17108458867707727,-0.026959954200074618
asrs_score,accuracy_common_pct,959,age_z,-0.3095545224466879,0.032075143659276044,-9.6509161653330775,4.3267195505670524e-21,-0.37250059218375353,-0.24660845270962228
asrs_score,accuracy_common_pct,959,gender_binaryWoman,0.11065035126758045,0.06236170551614972,1.7743317048781724,0.07632750998978742,-0.011731774469421086,0.233032477004582
asrs_score,accuracy_common_pct,959,participant_white_statusWhite,0.38502397152430695,0.06784964385154924,5.6746645917068514,1.8431471544556174e-8,0.25187200628659057,0.5181759367620233
asrs_score,correct_rt_common_mean_sec,959,(Intercept),-0.30204826357341,0.06344947782192675,-4.760453102878472,2.2311660484551574e-6,-0.4265650949923201,-0.17753143215449996
asrs_score,correct_rt_common_mean_sec,959,faces_z,0.04151536385626365,0.04811154539061091,0.8628981571721759,0.3884105603518313,-0.05290144448247552,0.1359321721950028
