model,participant_n,trial_n,effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_method
primary_accuracy_mixed_model,1047,77238,fixed,(Intercept),1.6756182649945424,0.20738627585614122,8.079696971639907,6.492790957313294e-16,1.269148633428617,2.0820878965604677,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,trial_stratumAI-white,0.7784138892257569,0.20692185584175476,3.761873708599712,1.686452027249695e-4,0.3728545041617287,1.183973274289785,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,trial_stratumAI-non-white,0.6239575059993561,0.16483216086238592,3.78541118878058,1.534546314464879e-4,0.3008924072151671,0.947022604783545,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,target_emotiondisgust,-0.5860023775391081,0.24999353627526108,-2.3440701158524226,0.019074585146719374,-1.0759807050064272,-0.09602405007178899,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,target_emotionfear,-1.3665614346222754,0.2495925040446684,-5.475170177297104,4.370913539201344e-8,-1.8557537533609931,-0.8773691158835577,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,target_emotionhappy,2.364080085844947,0.2624089130774701,9.009145528326652,2.0766816079558414e-19,1.849768066990804,2.87839210469909,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,target_emotionneutral,0.2977342922067921,0.25137528232668355,1.184421512930858,0.2362462484631947,-0.19495220775709549,0.7904207921706796,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,target_emotionsad,0.43557373106113795,0.25262122557303907,1.7242166808156933,0.08466873390388542,-0.05955477279238741,0.9307022349146633,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,trial_position_z,0.050044049583954586,0.011048460325405345,4.529504393375153,5.912220500820579e-6,0.02838946526154043,0.07169863390636874,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,task_positionPosition 2,-0.04749950991797212,0.060251675971287035,-0.7883516790571607,0.43049102681034285,-0.16559062482987205,0.07059160499392783,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,task_positionPosition 3,0.004368490570845644,0.0625205655511982,0.06987285755226062,0.9442948568490575,-0.1181695662025784,0.12690654734426968,model-reported Wald test
primary_accuracy_mixed_model,1047,77238,fixed,task_positionPosition 4,-0.23169122029047637,0.15582641504540398,-1.4868545889537872,0.13705322013841253,-0.5371053816194585,0.07372294103850577,model-reported Wald test
