metric,n,pearson_r,mean_difference,sd_difference,lower_agreement,upper_agreement
Accuracy percentage points,1039,0.5595838379081308,9.946120812567797,9.994084848024126,-9.64228548955949,29.53452711469508
Correct RT seconds,1039,0.7707557054027455,-0.3069472936380003,0.6451185550297508,-1.5713796614963118,0.9574850742203114
