model,participant_n,trial_n,effect,term,estimate,std.error,statistic,conf.low,conf.high,p.value,p_method
sensitivity_complete_task_rt_model,1029,61550,fixed,(Intercept),1.0248811079362592,0.025756540759377798,39.79110073479515,0.9743992156815408,1.0753630001909775,0,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,trial_stratumAI-white,-0.15153011343227674,0.02232631893883984,-6.787062114779178,-0.19528889445975733,-0.10777133240479614,1.1443994711483594e-11,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,trial_stratumAI-non-white,-0.1374249281338798,0.017875766990260243,-7.687777996253637,-0.17246078763081982,-0.10238906863693978,1.4971229302721227e-14,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,target_emotiondisgust,0.05137241148916954,0.02752161956213124,1.8666202173601778,-0.002568971648820695,0.10531379462715977,0.061954642249329755,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,target_emotionfear,0.1972437983041731,0.027573471144215978,7.153390201492584,0.14320078793275537,0.25128680867559083,8.466050538355939e-13,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,target_emotionhappy,-0.3225143510394184,0.02738400650080551,-11.77747131450365,-0.3761860175334079,-0.26884268454542887,5.100017840698587e-32,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,target_emotionneutral,-0.15948192036418102,0.02742876958755292,-5.814403006854283,-0.2132413208960323,-0.10572251983232975,6.085065537370297e-9,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,target_emotionsad,-0.06880328503465534,0.027444530283386896,-2.5069944474984984,-0.12259357596271249,-0.01501299410659819,0.012176262440263865,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,trial_position_z,-0.08122645646457807,0.0017796106929371751,-45.64282333599441,-0.0847144293292373,-0.07773848359991885,0,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,task_positionPosition 2,-0.009721304619813131,0.018906763765140337,-0.5141707349058304,-0.04677788066369509,0.02733527142406883,0.6071326265222078,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,task_positionPosition 3,-0.047243662415137916,0.019641765783272622,-2.4052655416231317,-0.08574081594312341,-0.008746508887152421,0.016160718190366588,large-sample normal approximation
sensitivity_complete_task_rt_model,1029,61550,fixed,task_positionPosition 4,-0.09868472636610609,0.05009625176936401,-1.9699023955012938,-0.1968715755945105,-4.978771377016911e-4,0.04884955785112664,large-sample normal approximation
