model,participant_n,trial_n,effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_method
white_status_moderation_accuracy_model,999,74064,fixed,(Intercept),1.7071750535254062,0.21030509570252837,8.117611453125061,4.754481119231898e-16,1.2949846401832015,2.119365466867611,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,trial_stratumAI-white,0.8208223470927501,0.2107553968486504,3.894668223761817,9.833322898864695e-5,0.40774935972194903,1.2338953344635513,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,trial_stratumAI-non-white,0.6289895851770543,0.1675647806758387,3.7537099540855294,0.00017423646356040176,0.30056864997505733,0.9574105203790513,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,participant_white_statusNon-white,-0.08986126120816255,0.05676837324910059,-1.5829458563811545,0.11343380563722713,-0.20112522823732676,0.021402705821001636,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,target_emotiondisgust,-0.5787716253605479,0.2524468267087979,-2.292647655374063,0.021868298396585113,-1.073558313721216,-0.08398493699987991,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,target_emotionfear,-1.357166661324465,0.2520217295443913,-5.385117639570094,7.239728188502156e-8,-1.851120174552966,-0.8632131480959642,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,target_emotionhappy,2.3696744265424545,0.2655855203034742,8.922453392168068,4.560708452959129e-19,1.849136371932314,2.890212481152595,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,target_emotionneutral,0.30986097846248084,0.2539124602715834,1.2203456976119063,0.22233385329526148,-0.18779829889577976,0.8075202558207415,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,target_emotionsad,0.4803148592826673,0.25544977517984663,1.8802712155237047,0.06007112415880717,-0.020357499928685796,0.9809872184940205,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,trial_position_z,0.04406038641609011,0.011287231481594035,3.9035600969058617,9.4787999732058855e-05,0.02193781922699913,0.06618295360518109,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,task_positionPosition 2,-0.07269023129404631,0.06075189421296311,-1.1965097094624553,0.23149771186961093,-0.19176175594404132,0.04638129335594869,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,task_positionPosition 3,-0.027165910758004546,0.06260493389388923,-0.43392603535128355,0.6643421529191924,-0.14986932644453832,0.09553750492852923,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,task_positionPosition 4,-0.2807476447101485,0.15372970857389104,-1.826241962692628,0.06781382307332315,-0.5820523368688133,0.02055704744851622,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,trial_stratumAI-white:participant_white_statusNon-white,-0.04145054069619912,0.077998189812996,-0.5314295215770849,0.5951211685229463,-0.19432418358899017,0.11142310219659195,model-reported Wald test
white_status_moderation_accuracy_model,999,74064,fixed,trial_stratumAI-non-white:participant_white_statusNon-white,0.06582154708541332,0.05449258884057545,1.2078990645495313,0.22708608946102674,-0.040981964466463794,0.17262505863729044,model-reported Wald test
