model,participant_n,trial_n,effect,term,estimate,std.error,statistic,conf.low,conf.high,p.value,p_method
gender_moderation_rt_model,978,58396,fixed,(Intercept),1.0540929610051397,0.029926157356594582,35.22313100358198,0.995438770390536,1.1127471516197436,8.84955962035457e-272,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-white,-0.16670181328370764,0.03343900745996998,-4.98525004018936,-0.23224106358401497,-0.1011625629834003,6.188173339285626e-7,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-non-white,-0.16546468967376804,0.025358898892131186,-6.524916179428886,-0.21516721818993784,-0.11576216115759824,6.803957323682779e-11,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,gender_binaryMan,-0.0022782802938151525,0.017373568719026036,-0.1311348480361537,-0.036329849266037856,0.03177328867840755,0.8956686344350395,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,face_genderman,-0.0666709384282764,0.026709365239559486,-2.496163343093211,-0.11902033234773901,-0.014321544508813788,0.012554477575448492,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,target_emotiondisgust,0.04513178487478113,0.02697892524524717,1.6728533277185278,-0.0077459369475017595,0.09800950669706401,0.09435617367733905,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,target_emotionfear,0.19608222675312942,0.027037459297319936,7.252243067549098,0.14308978029691471,0.24907467320934412,4.099253670771872e-13,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,target_emotionhappy,-0.32560205312609186,0.026833844009705583,-12.134007077343233,-0.37819542095188063,-0.2730086853003031,6.975092950313283e-34,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,target_emotionneutral,-0.16167553521366743,0.026882586490150386,-6.014136149916391,-0.2143644365456452,-0.10898663388168967,1.808484699908157e-9,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,target_emotionsad,-0.07145091557108076,0.0268974955488813,-2.656415183385075,-0.12416903812121449,-0.018732793020947013,0.007897631480182526,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_position_z,-0.0831810540095074,0.00181583743453129,-45.80864587747546,-0.08674002998296834,-0.07962207803604646,0,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,task_positionPosition 2,-0.004470757285829651,0.01952140875276282,-0.22901816884485424,-0.042732015368729746,0.033790500797070445,0.8188547946832103,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,task_positionPosition 3,-0.03687081231287574,0.020164064736789437,-1.8285406635104062,-0.07639165297891715,0.002650028353165669,0.06746844867632994,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,task_positionPosition 4,-0.05996061208346517,0.048916854946547565,-1.2257658868090628,-0.15583588601566836,0.03591466184873803,0.22028678792470324,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-white:gender_binaryMan,-0.015411171981070608,0.016378210610768964,-0.9409557824917387,-0.04751187490938953,0.016689530947248316,0.3467275193744098,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-non-white:gender_binaryMan,0.010020337838302812,0.011597594585946181,0.8640013896024035,-0.012710529857448418,0.03275120553405404,0.3875871271906777,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-white:face_genderman,0.03875237997620915,0.04518451750004911,0.8576473119618249,-0.04980764698270688,0.1273124069351252,0.3910872417009059,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-non-white:face_genderman,0.04033417017667362,0.035822789617948506,1.1259360481648462,-0.02987720730026079,0.11054554765360804,0.2601925896161104,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,gender_binaryMan:face_genderman,0.004731156748227735,0.01027153803101459,0.4606084048895262,-0.015400687858394319,0.02486300135484979,0.6450795804151597,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-white:gender_binaryMan:face_genderman,0.021397305209215543,0.021629967699228033,0.9892435119068257,-0.02099665246803609,0.06379126288646718,0.32254401426176044,large-sample normal approximation
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-non-white:gender_binaryMan:face_genderman,0.008158244360881492,0.016143318242059997,0.505363534222221,-0.02348207798452455,0.039798566706287536,0.6133035261614841,large-sample normal approximation
